IMEJIW   1.297 -2.20
1        1.297 5.81
2        1.302 9.73
3        1.297 13.20
4        1.305 10.13
5        1.279 7.50
6        1.286 12.58
7        1.276 8.43
9        1.284 7.22
10       1.279 12.67
11       1.290 13.23
12       1.299 9.07
13       1.284 10.28
14       1.264 10.25
15       1.287 9.02
16       1.286 7.62
17       1.269 10.12
18       1.293 11.21
20       1.305 8.93
21       1.297 3.02
25       1.281 10.77
26       1.309 0.00
27       1.269 9.64
28       1.284 11.95
30       1.288 12.02
31       1.261 11.40
32       1.327 2.18
34       1.274 10.10
35       1.275 11.63
37       1.297 4.26
39       1.272 11.97
40       1.283 13.62
42       1.281 10.76
43       1.291 13.49
44       1.238 14.52
45       1.270 10.48
46       1.296 3.87
47       1.294 6.38
50       1.295 3.86
52       1.281 7.76
53       1.276 13.71
57       1.293 12.81
59       1.246 16.02
60       1.324 5.12
64       1.294 13.39
65       1.276 8.31
68       1.273 7.03
71       1.305 11.90
73       1.310 11.34
77       1.283 13.60
80       1.259 12.72
81       1.275 10.01
83       1.260 11.29
84       1.269 9.42
88       1.238 14.51
95       1.289 10.02
99       1.241 8.81
102      1.284 4.77
105      1.236 16.86
110      1.280 3.22
114      1.294 2.57
119      1.281 7.77
122      1.281 10.77
126      1.257 10.01
135      1.278 11.16
148      1.305 10.13
151      1.273 12.01
155      1.251 8.87
166      1.280 14.93
174      1.279 7.50
181      1.260 11.69
189      1.244 12.26
192      1.253 7.81
196      1.257 10.09
204      1.289 9.02
206      1.281 7.81
216      1.241 8.80
225      1.259 9.47
226      1.273 11.37
230      1.258 7.10
255      1.255 9.64
256      1.244 12.26
278      1.266 6.51
318      1.255 12.01
319      1.273 12.93
343      1.284 7.64
344      1.258 10.01
346      1.256 13.25
393      1.290 9.01
421      1.241 13.05
424      1.292 12.81
443      1.302 9.69
485      1.267 10.31
513      1.268 9.36
521      1.279 8.12
527      1.310 11.55
568      1.264 10.24
582      1.281 7.77
629      1.279 8.11
632      1.283 13.60
638      1.235 13.09
727      1.246 13.49
755      1.269 9.68
893      1.315 4.95
917      1.283 13.59
933      1.292 11.14
1004     1.259 9.49
1032     1.287 9.00
1033     1.296 3.87
1036     1.279 7.51
1094     1.288 11.99
1104     1.315 4.96
1151     1.236 16.86
1255     1.256 13.27
1348     1.273 12.06
1525     1.297 4.25
1565     1.278 6.78
1604     1.276 8.43
