QUJNEQ   1.333 -1.91
1        1.354 8.53
2        1.336 7.05
4        1.330 0.00
5        1.328 9.94
6        1.337 10.47
9        1.332 9.08
13       1.293 14.29
14       1.315 8.73
15       1.335 14.85
16       1.334 10.40
17       1.334 10.43
18       1.308 12.29
21       1.332 9.24
22       1.294 12.22
28       1.332 7.86
35       1.312 13.64
38       1.321 11.87
39       1.336 7.12
41       1.320 8.31
42       1.324 9.99
43       1.293 15.82
44       1.360 7.23
65       1.323 6.61
77       1.336 4.65
87       1.301 8.13
97       1.343 4.97
103      1.318 8.76
109      1.327 6.84
121      1.315 10.66
126      1.331 9.06
173      1.298 12.43
176      1.334 10.40
180      1.325 2.97
195      1.338 9.78
233      1.361 7.26
237      1.295 12.84
295      1.335 14.87
299      1.337 10.54
323      1.300 8.13
329      1.315 8.81
349      1.301 8.10
388      1.360 7.21
492      1.324 9.90
583      1.336 7.05
649      1.315 8.73
656      1.278 10.68
827      1.300 8.03
872      1.301 8.12
953      1.324 10.01
